City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Tawau,MY,4.2498,117.8871,77.13,88,93,1.99,overcast clouds
300,Chicama,PE,-7.8447,-79.1469,64.94,68,93,10.16,overcast clouds
301,Saint-Augustin,CA,51.226,-58.6502,18.27,47,64,15.73,broken clouds
302,Shenjiamen,CN,29.9576,122.298,58.19,74,100,4.29,overcast clouds
303,Salta,AR,-24.7859,-65.4117,80.89,57,90,3.44,overcast clouds
304,Portland,US,45.5234,-122.6762,50.9,77,75,1.99,broken clouds
305,Vila Velha,BR,-20.3297,-40.2925,71.55,95,90,11.5,overcast clouds
306,Ayagoz,KZ,47.9714,80.4392,-8.14,98,60,11.01,broken clouds
307,Dobrichovice,CZ,49.9275,14.2747,35.13,90,90,8.05,overcast clouds
308,Bukama,CD,-9.2,25.85,67.87,97,71,2.84,light rain
309,Sitges,ES,41.2351,1.8119,52.02,41,90,5.01,overcast clouds
310,Srednekolymsk,RU,67.45,153.6833,-26.7,99,100,3.89,overcast clouds
311,Monze,ZM,-16.2833,27.4833,74.05,41,12,5.32,few clouds
312,San-Pedro,CI,4.7485,-6.6363,80.15,84,17,8.68,few clouds
313,Mortka,RU,59.3322,66.0214,8.83,87,99,7.0,overcast clouds
314,Meadow Lake,US,34.8014,-106.5436,56.17,47,100,6.71,overcast clouds
315,Riyadh,SA,24.6877,46.7219,62.74,28,96,8.75,overcast clouds
316,Inta,RU,66.0317,60.1659,-6.54,98,9,8.01,clear sky
317,Kendari,ID,-3.945,122.4989,75.76,89,100,2.93,overcast clouds
318,Maniitsoq,GL,65.4167,-52.9,29.37,55,98,11.05,overcast clouds
319,Maraa,BR,-1.8333,-65.3667,81.54,88,100,2.57,overcast clouds
320,Khasan,RU,42.4308,130.6434,29.98,81,10,4.7,clear sky
321,Westerland,DE,54.9079,8.3033,37.42,93,90,17.27,overcast clouds
322,San Luis,AR,-33.295,-66.3356,67.39,72,100,6.62,overcast clouds
323,Teahupoo,PF,-17.8333,-149.2667,76.96,72,74,16.75,broken clouds
324,Broome,US,42.2506,-75.833,32.83,76,90,3.0,light snow
325,Bati,ET,11.1833,40.0167,59.43,33,0,3.31,clear sky
326,Namibe,AO,-15.1961,12.1522,69.33,72,3,2.8,clear sky
327,Loubomo,CG,-4.1997,12.6739,74.32,93,99,1.01,overcast clouds
328,Puerto Cabezas,NI,14.0351,-83.3888,85.96,79,40,9.22,scattered clouds
329,Haines Junction,CA,60.7522,-137.5108,-0.45,85,100,2.3,overcast clouds
330,Kodiak,US,57.79,-152.4072,34.47,70,15,31.5,few clouds
331,Beberibe,BR,-4.1797,-38.1306,86.16,75,47,12.01,scattered clouds
332,Ocampo,MX,21.65,-101.5,72.28,15,19,8.79,few clouds
333,Hay River,CA,60.8156,-115.7999,4.98,85,90,11.5,light snow
334,Inhambane,MZ,-23.865,35.3833,77.4,78,96,7.67,overcast clouds
335,Gat,IL,31.61,34.7642,59.09,20,92,19.44,overcast clouds
336,Atherton,GB,53.5237,-2.4935,45.95,91,98,8.99,light rain
337,Seydi,TM,39.4816,62.9137,41.27,62,0,10.69,clear sky
338,Saint-Pierre,RE,-21.3393,55.4781,74.84,65,0,5.75,clear sky
339,Ulladulla,AU,-35.35,150.4667,60.76,93,100,5.77,light rain
340,Kletskaya,RU,49.3145,43.0584,41.07,78,100,9.82,overcast clouds
341,San Jeronimo,PE,-11.9472,-75.2829,62.17,60,100,4.56,overcast clouds
342,Noumea,NC,-22.2763,166.4572,81.0,99,0,3.33,clear sky
343,Moron,AR,-34.6534,-58.6198,84.0,47,97,1.99,overcast clouds
344,Marathon,US,44.9,-89.7668,21.76,67,1,0.0,clear sky
345,Tolaga Bay,NZ,-38.3667,178.3,75.24,57,52,4.94,broken clouds
346,Biak,ID,-0.9131,122.8766,76.84,86,100,1.28,overcast clouds
